Metric,Experiment 1 - Weighted Loss,Experiment 2 - Standard Loss
Accuracy,0.7948717948717948,0.7996794871794872
Precision,0.7538759689922481,0.7572815533980582
Recall,0.9974358974358974,1.0
F1-Score,0.8587196467991169,0.861878453038674
